Date,Open,High,Low,Close,Volume
2015-01-05,1400.87,1410.26,1388.37,1401.09,2044459904
2015-01-06,1377.53,1377.88,1361.14,1361.14,2684290816
2015-01-07,1353.43,1367.61,1353.43,1359.8,2206480384
2015-01-08,1374.91,1383.79,1370.99,1377.67,2469264128
2015-01-09,1386.72,1387.24,1375.02,1380.58,2500489216
2015-01-13,1364.26,1374.69,1353.96,1374.69,2198584064
2015-01-14,1365.53,1371.68,1356.2,1357.98,2255871232
2015-01-15,1361.29,1379.9,1360.33,1376.6,2501809408
2015-01-16,1354.45,1363.74,1343.29,1363.73,2707744512
2015-01-19,1374.41,1374.65,1365.08,1372.41,2035554688
2015-01-20,1376.57,1397.63,1376.15,1397.63,2129008768
2015-01-21,1394.24,1394.24,1381.95,1390.61,2180705792
2015-01-22,1390.97,1391.92,1380.47,1389.43,1964825216
2015-01-23,1403.88,1404.1,1398.43,1403.22,2079824512
2015-01-26,1387.82,1402.26,1387.77,1402.08,1835777024
2015-01-27,1414.53,1426.38,1413.56,1426.38,2182196992
2015-01-28,1414.36,1433.35,1414.36,1429.92,2306132480
2015-01-29,1419,1424.49,1411.31,1413.58,2396921856
2015-01-30,1425.67,1429.32,1415.07,1415.07,2672907776
2015-02-02,1402.52,1411.4,1397.14,1408.75,2295508480
2015-02-03,1415.51,1415.99,1387.38,1392.39,2612175616
2015-02-04,1407.92,1424.9,1407.63,1417,2644338432
2015-02-05,1417.19,1420.33,1406.29,1410.11,2612314880
2015-02-06,1422.61,1422.86,1414.95,1417.19,2142108160
2015-02-09,1429.93,1430,1418.85,1424.92,1990866816
2015-02-10,1424.1,1427.72,1419.93,1427.72,1977689856
2015-02-12,1446.22,1455.26,1444.51,1449.39,2745518592
2015-02-13,1449.12,1453.26,1445.88,1449.38,2539159808
2015-02-16,1459.05,1463.86,1455.34,1459.43,2441955328
2015-02-17,1455.71,1463.41,1453.14,1462.07,2231345408
2015-02-18,1473.84,1483.55,1472.92,1482.67,2639092992
2015-02-19,1485.18,1496.08,1485.12,1494.93,2600124672
2015-02-20,1499.47,1501.16,1493.56,1500.33,2325307392
2015-02-23,1510.9,1512.71,1495.57,1502.83,2437492992
2015-02-24,1501.09,1508.28,1496.97,1508.28,2272200448
2015-02-25,1512.66,1513.4,1504.72,1507.62,2190402816
2015-02-26,1505.37,1521.68,1505.37,1521.68,2363518208
2015-02-27,1526.97,1529.2,1517.56,1523.85,2656863488
2015-03-02,1528.77,1533.15,1523.18,1524.97,2170267648
2015-03-03,1531.68,1531.91,1517.69,1526.83,2315897600
2015-03-04,1519.99,1520.26,1504.45,1517.01,2137307136
2015-03-05,1515.01,1524.31,1514.72,1523.72,1824625920
2015-03-06,1526.54,1540.85,1525.93,1540.84,2128260864
2015-03-09,1534.53,1536.39,1524.53,1531.76,1795534208
2015-03-10,1539.25,1541.76,1517.68,1524.75,2137174144
2015-03-11,1515.52,1531.71,1515.52,1525.67,1926203904
2015-03-12,1529.99,1548.27,1529.2,1546.63,2183789056
2015-03-13,1555.43,1566.03,1550.25,1560.33,3197373952
2015-03-16,1559.01,1565.67,1554.57,1558.21,1975901568
2015-03-17,1570.1,1575.31,1565.21,1570.5,1941380224
2015-03-18,1570.94,1583.6,1569.71,1582.46,2043357952
2015-03-19,1581.79,1585.84,1564.42,1575.81,2265324800
2015-03-20,1577.25,1580.66,1568.88,1580.51,2128195584
2015-03-23,1586.38,1594.71,1583.13,1592.25,1884181248
2015-03-24,1587.88,1590.39,1579.26,1587.59,2089296256
2015-03-25,1588.51,1593.31,1575.9,1592.01,2144916736
2015-03-26,1581.35,1581.48,1562.72,1568.82,2296914688
2015-03-27,1557.24,1575.31,1538.75,1552.78,2565536768
2015-03-30,1552.59,1561.2,1544,1557.77,2099817728
2015-03-31,1576.1,1578.93,1543.11,1543.11,2356280064
2015-04-01,1536.7,1541.3,1519.41,1528.99,2506300416
2015-04-02,1536.06,1565.39,1535.97,1554.17,2384365312
2015-04-03,1554.53,1564.16,1552.9,1564.16,1710332032
2015-04-06,1552.45,1561.84,1548.59,1560.71,1590344576
2015-04-07,1572.72,1583.5,1571.44,1578.55,2092813696
2015-04-08,1586.78,1593.74,1582.29,1588.47,2284075008
2015-04-09,1592.49,1595.75,1588.47,1594.19,1982555776
2015-04-10,1596.52,1596.81,1584.33,1589.54,2040574336
2015-04-13,1591.68,1592.35,1578.12,1586.26,1695366144
2015-04-14,1583.07,1591.65,1583.05,1590.82,1726964096
2015-04-15,1584.91,1593.44,1584.73,1588.81,1948740608
2015-04-16,1589.63,1599.42,1582.34,1599.42,2535960064
2015-04-17,1594.88,1598.24,1587.22,1588.69,2679425792
2015-04-20,1574.9,1591.14,1569.29,1582.68,2080490624
2015-04-21,1590.64,1608.88,1588.26,1608.88,2294690048
2015-04-22,1613.86,1625.98,1612.36,1621.79,2791211520
2015-04-23,1631.14,1633.81,1616.23,1624.87,2744561408
2015-04-24,1623.81,1625.17,1616.53,1618.84,2134790144
2015-04-27,1621.29,1622.76,1612.5,1619.07,1865706624
2015-04-28,1623.89,1630.53,1623.62,1627.43,2072476288
2015-04-30,1612.58,1613.6,1587.67,1592.79,2719134976
2015-05-01,1587.07,1590.08,1573.31,1585.61,2231494912
2015-05-07,1574.61,1585.59,1571.43,1574.64,2365350144
2015-05-08,1576.78,1592.59,1574.62,1587.76,2564822528
2015-05-11,1608.67,1612.43,1597.26,1598.33,2887437824
2015-05-12,1600.02,1602.27,1587.27,1602.27,2728292096
2015-05-13,1595.28,1605.91,1589.35,1604.21,2787724288
2015-05-14,1597.42,1601.74,1589.78,1591.49,2571778048
2015-05-15,1601.05,1608.07,1595.46,1607.11,2544505856
2015-05-18,1612.36,1626.66,1611.91,1626.66,2759264768
2015-05-19,1631.5,1638.02,1629.5,1633.33,2581043712
2015-05-20,1644.43,1650.85,1641.18,1643.4,2568625664
2015-05-21,1646.78,1656.05,1643.39,1646.8,2522573824
2015-05-22,1647.91,1648.51,1638.52,1647.85,2070621568
2015-05-25,1655.8,1660.37,1653.17,1659.15,2046817024
2015-05-26,1659.99,1662.75,1656.23,1659.57,1908546432
2015-05-27,1655.72,1665.49,1653.23,1661.33,2532869120
2015-05-28,1671.14,1679.78,1667.3,1672.76,3110922752
2015-05-29,1671.14,1680.39,1669.93,1673.65,3286651904
2015-06-01,1662.55,1680.4,1661.72,1678.56,2488151552
2015-06-02,1682.48,1683.19,1669.85,1674.21,2768356352
2015-06-03,1668.49,1673.74,1663.84,1669.99,2405154560
2015-06-04,1674.38,1676.69,1669.31,1673.89,2492655872
2015-06-05,1664.45,1668.96,1658.99,1667.06,2329446656
2015-06-08,1672.69,1673.16,1657.99,1661.99,2115159808
2015-06-09,1649.08,1652.86,1634.13,1634.37,2364797952
2015-06-10,1635.06,1646.78,1627.11,1628.23,2533153792
2015-06-11,1640.27,1651.93,1639.43,1648.88,2116721152
2015-06-12,1653.55,1653.55,1645.52,1651.48,2680557056
2015-06-15,1638.1,1653.19,1637.62,1651.92,1702379136
2015-06-16,1646.1,1649.32,1637.58,1639.86,1991605248
2015-06-17,1645,1646.45,1629.35,1633.7,1886554240
2015-06-18,1631.85,1632.49,1616.66,1616.66,2022502656
2015-06-19,1630.18,1635.04,1625.02,1631.01,2404650752
2015-06-22,1630.87,1649.21,1630.87,1648.61,2042383360
2015-06-23,1660.89,1676.4,1658.64,1676.4,2829655552
2015-06-24,1683.46,1686.61,1679.53,1679.89,2627315712
2015-06-25,1671.36,1678.26,1670,1670.91,2074545792
2015-06-26,1667.68,1672.06,1656.81,1667.03,2187769088
2015-06-29,1634.81,1639.12,1620.27,1624.82,2530032384
2015-06-30,1626.21,1633.27,1621.61,1630.4,2583967232
2015-07-01,1635.06,1638.25,1628.01,1636.41,2161804544
2015-07-02,1653.3,1656.56,1646.26,1648.24,2236208640
2015-07-03,1648.78,1654.85,1644.62,1652.09,2176808704
2015-07-06,1626.79,1634.57,1614.8,1620.36,2415611392
2015-07-07,1638.89,1645.1,1636.06,1637.23,2224794368
2015-07-08,1630.46,1631.42,1582.48,1582.48,3192742656
2015-07-09,1554.9,1580.56,1526.09,1579.89,3707041536
2015-07-10,1585.97,1602.12,1579.21,1583.55,2759653632
2015-07-13,1600.69,1616.57,1598.62,1613.51,2052015360
2015-07-14,1637.13,1643.69,1633.12,1638.71,2460514560
2015-07-15,1646.43,1647.86,1638.76,1646.41,2043385856
2015-07-16,1655.08,1660.83,1651.7,1660.83,2126813440
2015-07-17,1662.52,1663.49,1658.43,1662.94,1872052736
2015-07-21,1672.78,1674.27,1666.54,1673.88,1977381248
2015-07-22,1660.95,1662.17,1654.05,1655.37,2144974080
2015-07-23,1662.51,1665.72,1658.53,1664.88,1838020096
2015-07-24,1661,1662.95,1653.7,1655.86,1795505920
2015-07-27,1644.19,1649.68,1631.6,1637.9,1885983360
2015-07-28,1620.49,1638.65,1612.56,1629.46,2164867840
2015-07-29,1637.97,1638.11,1626.27,1633.94,2020845824
2015-07-30,1645.9,1655.26,1644.03,1647.21,2590159872
2015-07-31,1651.11,1659.52,1648.08,1659.52,2570240256
2015-08-03,1659.68,1660.35,1646.89,1659.6,2411457024
2015-08-04,1655.03,1661.37,1652.88,1659.83,2382393856
2015-08-05,1657.56,1675.58,1655.33,1665.85,2583097088
2015-08-06,1679.39,1688.07,1673.58,1673.58,2507829760
2015-08-07,1670.21,1680.4,1664.21,1679.19,2312417280
2015-08-10,1674.12,1691.29,1671.4,1691.29,2188155392
2015-08-11,1700.46,1702.83,1676.98,1687.6,2423574784
2015-08-12,1680.32,1685.77,1655.46,1665.75,2538387456
